Account No,Customer No,Account Name,Currency,category,Open Date,Scheme Id,Classification,Product Id,type,officer,Risk,status
285643583319885,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
532867182018545,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
381670066367769,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 1,INDIVIDUAL,,CURRENT,INPP6119,,
840173187153831,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
176717134673971,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,CORPORATE,,CURRENT,INPP6119,,
654271625578293,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
928992736930720,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,INDIVIDUAL,,CURRENT,INPP6119,,
265671816284756,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,INDIVIDUAL,,CURRENT,INPP6119,,
425958324967995,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 3,CORPORATE,,CURRENT,INPP6119,,
057408049977861,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,INDIVIDUAL,,CURRENT,INPP6119,,
375815448350131,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 1,CORPORATE,,CURRENT,INPP6119,,
392181769450697,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 5,INDIVIDUAL,,CURRENT,INPP6119,,
600645636634166,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
173957639444082,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,CORPORATE,,CURRENT,INPP6119,,
233785660154006,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,CORPORATE,,CURRENT,INPP6119,,
039506277908037,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 4,INDIVIDUAL,,CURRENT,INPP6119,,
734444486466431,I10123445,OLUFEMI SAMUEL ADEMOLA,NGN,10000,2021-11-02,ACCOUNT SCHEME 2,INDIVIDUAL,,CURRENT,INPP6119,,
